hospital_name,location
"Sri Sathya Sai Institute of Higher Medical Sciences, Puttaparthi",Anantapuram
Sri Venkateswara Institute of Medical Sciences (SVIMS),Tirupati
L. V. Prasad Eye Institute,Vijayawada
"Siddhartha Medical College, NTR University of Health Sciences",Vijayawada
Rainbow Hospitals,Vijayawada
Dr. Mohan’s Diabetes Specialities Centre,Vijayawada
"Apollo Hospitals, Visakhapatnam",Visakhapatnam
Care Hospitals,Visakhapatnam
"Government ENT Hospital, Visakhapatnam",Visakhapatnam
Government Regional Eye Hospital,Visakhapatnam
"Government TB and Chest Hospital, Visakhapatnam",Visakhapatnam
Government Victoria Hospital,Visakhapatnam
Homi Bhabha Cancer Hospital & Research Centre,Visakhapatnam
King George Hospital,Visakhapatnam
L. V. Prasad Eye Institute,Visakhapatnam
Rainbow Hospitals,Visakhapatnam
Rani Chandramani Devi Government Hospital,Visakhapatnam
SevenHills Hospital,Visakhapatnam
Visakha Institute of Medical Sciences,Visakhapatnam
Gauhati Medical College and Hospital,Guwahati
Dr. B. Borooah Cancer Institute,Guwahati
GNRC,Guwahati
Narayana Superspeciality Hospital,Guwahati
Apollo Hospitals,Guwahati
Assam Medical College,Dibrugarh
SMCH - Silchar Medical College and Hospital,Silchar
Jorhat Medical College and Hospital,Jorhat
Medical Institute Jorhat,Jorhat
Tezpur Medical College and Hospital,Tezpur
Lokopriya Gopinath Bordoloi Regional Institute of Mental Health,Tezpur
Diphu Medical College and Hospital,Diphu
Fakhruddin Ali Ahmed Medical College and Hospital,Barpeta
Jawaharlal Nehru Medical College and Hospital,Bhagalpur
Darbhanga Medical College and Hospital,Darbhanga
Mithila Minority Dental College and Hospital,Darbhanga
Government Medical College and MJK Hospital,Bettiah
Anugrah Narayan Magadh Medical College and Hospital,Gaya
Katihar Medical College,Katihar
Sri Krishna Medical College,Muzaffarpur
AIIMS Patna,Patna
Ford Hospital and Research Centre,Patna
"Guru Gobind Singh Hospital, Patna Sahib",Patna
Indira Gandhi Institute of Medical Sciences (IGIMS),Patna
Mahavir Cancer Institute and Research Centre,Patna
"Nalanda Medical College Hospital, Kankarbagh",Patna
"Patna Medical College Hospital, Ashok Raj Patna",Patna
Narayan Medical College and Hospital,Sasaram
"Post Graduate Institute of Medical Education and Research, Sector 12",Chandigarh
"All India Institute of Medical Sciences, Ansari Nagar",Delhi
"Cloudnine Hospitals, Gurgaon",Delhi
"Columbia Asia, Gurgaon",Delhi
"Dharamshila Cancer Hospital and Research Centre, Dharamshila Marg, Vasundhara Enclave",Delhi
Dr. Mohan’s Diabetes Specialities Centre,Delhi
"Eden Hospital, East of Kailash, New Delhi",Delhi
"Fortis Hospital, Gurgaon",Delhi
"Guru Teg Bahadur Hospital, Dilshad Garden",Delhi
"Holy Family Hospital, Jamia Nagar, Friends Colony",Delhi
"Indraprastha Apollo Hospital, Sarita Vihar",Delhi
"Lady Hardinge Medical College, Shaheed Bhagat Singh Marg",Delhi
"Lok Nayak Hospital, Delhi",Delhi
"Maharaja Agrasen Hospital, West Punjabi Bagh",Delhi
"Maulana Azad Medical College, Bahadur Shah Zafar Marg",Delhi
"Max Healthcare, Max Medcentre, Panchsheel Park",Delhi
"Medanta The Medicity, Gurgaon",Delhi
"National Heart Institute (Delhi), Community Centre, East of Kailash",Delhi
"Rajiv Gandhi Cancer Institute and Research Centre, Rohini and Niti bagh",Delhi
"Ram Manohar Lohia Hospital, Baba Kharag Singh Marg",Delhi
Safdarjang Hospital,Delhi
"Sanjeevan Hospitals, Daryaganj, Paharganj",Delhi
"Sir Ganga Ram Hospital, Rajendar Nagar",Delhi
"St. Stephen's Hospital, Delhi, Tis Hazari",Delhi
"Sunrise Hospital, Kalindi colony",Delhi
Vidyasagar Institute of Mental Health and Neuro Sciences,Delhi
Institute of Psychiatry and Human Behaviour,Goa
Ahmedabad Civil Hospital,Ahmedabad
"B.J. Medical College, Asarwa",Ahmedabad
"GCRI, Ahmedabad",Ahmedabad
Shalby Hospital,Ahmedabad
"Shantabaa Medical College Hospital, Amreli",Amreli
Baroda Medical College Hospitals at M S University,Baroda
Government Medical College Hospital Bhavnagar,Bhavnagar
Irwin Group of Hospitals renamed as Guru Gobind Singh Hospital at M. P. Shah Medical College,Jamnagar
"GMERS Medical College and Hospital, Junagadh",Junagadh
"All India Institute of Medical Sciences, Rajkot & Pandit Deendayal Upadhyay Medical College Hospital, Rajkot",Rajkot
Smimer Hospital,Surat
Muljibhai Patel Urological Hospital,Nadiad
Columbia Asia Hospital[2],Gurgaon
"Fortis Hospital, Gurgaon",Gurgaon
"Medanta, Gurgaon",Gurgaon
Aarvy Hospital,Gurgaon
Ganga Ram Hospital,Hisar
"Indira Gandhi Medical College and Hospital, Shimla (Snowdown Hospital)",Shimla
"Deendayal Upadhyaya Hospital, Shimla (Ripon Hospital)",Shimla
Dr. Rajendra Prasad Government Medical College Kangra,Others
"Shri Lal Bahadur Shastri Government Medical College and Hospital, Mandi",Others
"Medanta Hospital, Ranchi[3]",Ranchi
Apollo Hospitals,Bengaluru
Bangalore Medical College,Bengaluru
Bowring & Lady Curzon Hospitals.,Bengaluru
Bangalore Medical College,Bengaluru
"Columbia Asia, Hebbal",Bengaluru
"Columbia Asia, Yeshwanthpur",Bengaluru
"Cloudnine Hospitals, Jayanagar.",Bengaluru
Dr. Mohan’s Diabetes Specialities Centre,Bengaluru
"Indira Gandhi Institute of Child Health, Bangalore.",Bengaluru
"Minto Eye Hospital, Bangalore Medical College.",Bengaluru
Kidwai Memorial Institute of Oncology,Bengaluru
"Narayana Hrudayalaya, Hosur Road",Bengaluru
"National Institute of Mental Health and Neurosciences (Nimhans), Bangalore",Bengaluru
"Nethradhama Superspeciality Eye Hospital, Jayanagar",Bengaluru
Rajarajeswari Medical College and Hospital,Bengaluru
SDS Tuberculosis and Rajiv Gandhi Institute of Chest diseases,Bengaluru
"Sri Jayadeva Institute of Cardiology, Jayanagar",Bengaluru
St. Johns Medical College,Bengaluru
"Vanivilas Women and Children Hospital, Bangalore Medical College",Bengaluru
"Victoria Hospital, Bangalore Medical College",Bengaluru
"Vydehi Institute of Medical Sciences and Research Centre Whitefield, Bangalore",Bengaluru
"Basaveshwara Teaching and General Hospital, Gulbarga",Bengaluru
"Sri Jayadeva Institute of Cardiology, Sedam road.",Gulbarga
"All India Institute of Speech and Hearing, (Aiish), Manasa Gangothri",Mysore
"Columbia Asia, Belvadi",Mysore
Dr. Mohan’s Diabetes Specialities Centre,Mysore
A J Institute of Medical Science,Mangalore
Kasturba Medical College KMC,Manipal
"Government T D Medical College, Alappuzha",Alappuzha
"Government Medical College, Kozhikode",Kozhikode (Calicut)
Aster MIMS,Kozhikode (Calicut)
The Cradle Hospital Calicut,Kozhikode (Calicut)
Chest Hospital,Kozhikode (Calicut)
Amrita Institute of Medical Sciences,Kochi
Aster Medcity,Kochi
"General Hospital, Ernakulam",Kochi
Indira Gandhi Cooperative Hospital,Kochi
Lakeshore Hospital,Kochi
Lisie Hospital,Kochi
Little Flower Hospital,Kochi
Medical Trust Hospital,Kochi
Rajagiri Hospital,Kochi
Renai medicity,Kochi
Saraf Hospital,Kochi
Sunrise Hospital,Kochi
"Azeezia Medical College, Meeyannoor, Kollam",Kollam
Employee's State Insurance Hospital & Medical College,Kollam
N. S. Memorial Institute of Medical Sciences,Kollam
Travancore Medical College Hospital,Kollam
"Medical College Hospital, Athirumpuzha",Kottayam
"St. Thomas Hospital, Chethipuzha, Changanacherry",Kottayam
Malabar Institute of Medical Sciences (MIMS),Kozhikode
Medical College Hospital,Kozhikode
"Seventh-day Adventist Hospital, Kanniampuram",Ottapalam
Sree Chitra Thirunal Institute of Medical Sciences and Technology,Thiruvananthapuram
"Credence Hospital, Ulloor",Thiruvananthapuram
Divya Prabha Eye Hospital,Thiruvananthapuram
Medical College Hospital,Thiruvananthapuram
Regional Cancer Centre,Thiruvananthapuram
"Mission Hospital, Pothencode",Thiruvananthapuram
TB Hospital Medical College,Thiruvananthapuram
"Amala Institute of Medical Sciences, Amala Nagar",Thrissur
"Amala Ayurvedic Hospital and Research Centre, Amala Nagar",Thrissur
All India Institute of Medical Sciences Bhopal,Bhopal
"Gandhi Medical College, Bhopal and associated Hamidia Hospital, Kamla Nehru Hospital",Bhopal
Maharaja Yeshwantrao Hospital,Indore
"Netaji Subhash Chandra Bose Medical College, Jabalpur",Jabalpur
Cancer Hospital & Research Centre,Gwalior
Sahara Hospital,Gwalior
Hedgewar Hospital,Aurangabad
"MGM Medical College and Hospital, Aurangabad",Aurangabad
"Asian Heart Institute, Bandra-Kurla Complex",Mumbai
"Bhabha Hospital, Bandra",Mumbai
"Bhaktivedanta Hospital, Mira Road",Mumbai
"Bombay Hospital, Marine Lines",Mumbai
"Breach Candy Hospital, Mahalaxmi",Mumbai
"D Y Patil Hospital, Nerul",Mumbai
"Cloudnine Hospitals, Link Road, Malad West",Mumbai
"Cooper Hospital, Vile Parle",Mumbai
"Gokuldas Tejpal Hospital, Fort",Mumbai
"Grant Medical College and Sir Jamshedjee Jeejebhoy Group of Hospitals, Sandhurst Road",Mumbai
"Hinduja Healthcare Surgical, Khar, Mumbai",Mumbai
"Hinduja Hospital, Mahim, Mumbai",Mumbai
"Holy Family Hospital, Bandra",Mumbai
"Hurkisondas Hospital, Girgaon",Mumbai
"Jaslok Hospital, Pedar Road",Mumbai
"Lilavati Hospital, Bandra",Mumbai
"Lokmanya Tilak Hospital, Sion",Mumbai
"Nanavati Hospital, Vile Parle",Mumbai
"Prince Aly Khan Hospital, Byculla",Mumbai
"Rajawadi Hospital, Ghatkopar",Mumbai
"Saifee Hospital, Charni Road",Mumbai
"KEM Hospital, Parel",Mumbai
"Shushrusha Citizens' Co-operative Hospital, Shivaji Park, Mumbai",Mumbai
"Shushrusha's Suman Ramesh Tulsiani Hospital, Vikhroli, Mumbai",Mumbai
"Sunrise Hospital, Bhandup",Mumbai
"Tata Memorial Hospital, Parel",Mumbai
"Mahatma Gandhi Memorial Hospital, Parel",Mumbai
Shree Saibaba Heart Institute And Research Centre,Nashik
Aditya Birla Memorial Hospital,Pune
"Cloudnine Hospitals, Bhamburda, Shivaji Nagar and Kalyaninagar",Pune
Deenanath Mangeshkar Hospital,Pune
Hardikar Hospital,Pune
Jehangir Hospital,Pune
Joshi Hospital,Pune
Ruby Hall Clinic,Pune
Sassoon Hospital,Pune
Sahyadri Hospital,Pune
"Government Medical College and Hospital, Nagpur",Nagpur
"All India Institute of Medical Sciences, Nagpur",Nagpur
"Indira Gandhi Government Medical College, Nagpur",Nagpur
"N.K.P. Salve Institute of Medical Sciences Popuarly known as Lata Mangeshkar Hospital, Nagpur",Nagpur
"Kasturba Hospital, Sewagram",Wardha
Shri Vasantrao Naik Government Medical College,Yavatmal
North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences,Meghalaya
"All India Institute of Medical Sciences, Bhubaneswar",Bhubaneswar
AMRI Hospital,Bhubaneswar
"Apollo Hospitals, Bhubaneswar",Bhubaneswar
Hi-Tech Medical College & Hospital,Bhubaneswar
Kalinga Institute of Dental Sciences,Bhubaneswar
Kalinga Institute of Medical Sciences,Bhubaneswar
Institute of Medical Sciences and Sum Hospital,Bhubaneswar
Dr. Mohan's Diabetes Specialities Centre,Bhubaneswar
"MKCG Medical College and Hospital, Berhampur",Berhampur
"Veer Surendra Sai Medical College, Burla",Sambalpur
"Christian Hospital, Bissam Cuttack",Rayagada
Aravind Eye Hospital,Pondicherry
Dr. Mohan’s Diabetes Specialities Centre,Pondicherry
"Mahatma Gandhi Medical College and Research Institute, Pillaiyarkuppam",Pondicherry
"Pondicherry Institute of Medical Sciences, Kalapet",Pondicherry
Rajiv Gandhi Government Women And Children's Hospital,Pondicherry
Jawaharlal Institute of Postgraduate Medical Education and Research,Pondicherry
Aarupadai Veedu Medical College,Pondicherry
Vinayaka Missions Medical College,Pondicherry
"Sri Venkateswara medical College, hospital & Research Centre",Pondicherry
"Jattinder GH Hospital, Ludhiana",Ludhiana
Dr. B.R. Ambedkar State Institute of Medical Sciences,Mohali
"Max Super Speciality Hospital, Mohali",Mohali
"Mathura Das Mathur Hospital, Jodhpur",Jodhpur
All India Institute of Medical Sciences Jodhpur,Jodhpur
"SMS Hospital, Jaipur",Jaipur
"Bhagwan Mahaveer Cancer Hospital and Research Centre, Jaipur",Jaipur
Adyar Cancer Institute,Chennai
"Apollo Hospitals, Greams Road",Chennai
Balaji Dental and Craniofacial Hospital,Chennai
Billroth Hospitals,Chennai
"Cloudnine Hospitals, Vijaya Raghava Road, TNagar",Chennai
Dr. Mohan’s Diabetes Specialities Centre[4],Chennai
Fortis Malar Hospital,Chennai
Global Hospitals & Health City,Chennai
Government General Hospital,Chennai
Government Hospital of Thoracic Medicine,Chennai
Government Institute of Rehabilitation Medicine,Chennai
Government multi-super speciality hospital,Chennai
Government Royapettah Hospital,Chennai
Stanley Medical College and Hospital,Chennai
Hindu Mission Hospital,Chennai
Kilpauk Medical College Hospital,Chennai
Madras Medical Mission,Chennai
MIOT Hospital,Chennai
National Institute of Siddha,Chennai
Perambur railway hospital,Chennai
Regional Institute of Ophthalmology and Government Ophthalmic Hospital,Chennai
Sankara Nethralaya,Chennai
Sir Ivan Stedeford Hospital,Chennai
Sri Ramachandra Medical College and Research Institute,Chennai
"Sundaram Medical Foundation (SMF Hospital), Anna Nagar",Chennai
Tamil Nadu Government Dental College and Hospital,Chennai
Voluntary Health Services,Chennai
Aravind Eye Hospital,Coimbatore
Dr. Mohan’s Diabetes Specialities Centre,Coimbatore
PSG Institute of Medical Sciences & Research,Coimbatore
Sankara Eye Foundation,Coimbatore
Sri Ramakrishna Hospital,Coimbatore
Apollo Hospitals,Madurai
Aravind Eye Hospital,Madurai
Dr. Mohan’s Diabetes Specialities Centre,Madurai
Aravind Eye Hospital,Salem
Vasan Eye Care Hospital,Salem
Vinayaka Mission Hospital,Salem
Sri Narayani Hospital & Research Centre Melvisharam,Vellore
Christian Medical College & Hospital,Vellore
"Dr. Mohan’s Diabetes Specialities Centre, Katpadi",Vellore
Government Vellore Medical College Hospital,Vellore
Vasan Eye Care Hospital,Vellore
"Divisional Railway Hospital, Golden Rock",Tiruchirappalli
Adiparasakthi Hospital,Tirunelveli
Krishna Hospital,Tirunelveli
Shifa Hospital,Tirunelveli
Catherine Booth Hospital,Nagercoil
Little Flower Hospital,Nagercoil
Dr. Jeyasekharan Hospital & Nursing Home,Nagercoil
"Yashoda Hospitals, Malakpet, Secunderabad, Somajiguda",Hyderabad
"Dr. Mohan’s Diabetes Specialities Centre, Domalguda & Jubilee Hills",Hyderabad
"Durgabai Deshmukh Hospital, Vidyanagar",Hyderabad
"Fernandez Hospital, Bogulkunta",Hyderabad
L. V. Prasad Eye Institute,Hyderabad
LifeSpring Hospitals,Hyderabad
"National Institute of Mentally Handicapped, Newbowenpally",Hyderabad
"Nizam's Institute of Medical Sciences, Somajiguda",Hyderabad
"Osmania General Hospital, Afzal Gunj",Hyderabad
"Sarojini Devi Eye Hospital, Mehidipatnam",Hyderabad
Mahatma Gandhi Memorial Hospital,Warangal
"Government General Hospital, Nizamabad",Nizamabad
Tripura Medical College & Dr. B.R. Ambedkar Memorial Teaching Hospital,Tripura
Agartala Government Medical College,Tripura
Jawaharlal Nehru Medical College (AMU),Aligarh
KK Hospital,Aligarh
Kamla Nehru Memorial Hospital,Allahabad
Hallet Hospital,Kanpur
Ganesh Shankar Vidyarthi Memorial Medical College,Kanpur
Regency Hospital,Kanpur
J L Rohatgi Memorial Eye Hospital,Kanpur
Rama Medical College,Kanpur
Chhatrapati Shahuji Maharaj Medical University,Lucknow
Mayo Hospital,Lucknow
Sahara Hospital,Lucknow
SGPGI,Lucknow
Dr. Mohan’s Diabetes Specialities Centre,Lucknow
Medanta Hospital,Lucknow
Chandan Hospital,Lucknow
Dr.Rammanohar Lohiya Institute of Medical Science,Lucknow
Teerthanker Mahaveer Medical College & Research Centre,Moradabad
Sir Sunderlal Hospital  (IMS BHU),Varanasi
Burdwan Medical College Hospital,Burdwan
Nightingale Nursing Home,Burdwan
"The Mission Hospital, Durgapur",Durgapur
Bidhannagar Sub-Divisional Hospital,Kolkata
Calcutta National Medical College,Kolkata
"Columbia Asia Hospital, Salt Lake",Kolkata
Desun Hospital & Heart Institute,Kolkata
IPGMER and SSKM Hospital,Kolkata
Kolkata Medical College Hospital,Kolkata
KPC Medical College and Hospital,Kolkata
Medica Superspecialty Hospital,Kolkata
Nil Ratan Sarkar Medical College and Hospital,Kolkata
Peerless Hospital,Kolkata
R. G. Kar Medical College and Hospital,Kolkata
Sankara Nethralaya,Kolkata
Suri Sadar Hospital,Suri
